timestamp_unix,timestamp_iso,memory_used_bytes,memory_used_gb,memory_max_bytes,memory_max_gb
1770719174,2026-02-10T08:06:14Z,1363136912,1.27,2489421312,2.32
1770719474,2026-02-10T08:11:14Z,1363160424,1.27,2489421312,2.32
1770719774,2026-02-10T08:16:14Z,1363233728,1.27,2489421312,2.32
1770720074,2026-02-10T08:21:14Z,1363210480,1.27,2489421312,2.32
1770720374,2026-02-10T08:26:14Z,1363182080,1.27,2489421312,2.32
1770720674,2026-02-10T08:31:14Z,1363127384,1.27,2489421312,2.32
1770720974,2026-02-10T08:36:14Z,1363138120,1.27,2489421312,2.32
1770721274,2026-02-10T08:41:14Z,1451053824,1.35,2489421312,2.32
1770721574,2026-02-10T08:46:14Z,1450295144,1.35,2489421312,2.32
1770721874,2026-02-10T08:51:14Z,1448809416,1.35,2489421312,2.32
1770722174,2026-02-10T08:56:14Z,1447899456,1.35,2489421312,2.32
1770722474,2026-02-10T09:01:14Z,1446794152,1.35,2489421312,2.32
1770722774,2026-02-10T09:06:14Z,1445670624,1.35,2489421312,2.32
1770723074,2026-02-10T09:11:14Z,1444713488,1.35,2489421312,2.32
1770723374,2026-02-10T09:16:14Z,1443718320,1.34,2489421312,2.32
1770723674,2026-02-10T09:21:14Z,1441185760,1.34,2489421312,2.32
1770723974,2026-02-10T09:26:14Z,1440248000,1.34,2489421312,2.32
1770724274,2026-02-10T09:31:14Z,1438951312,1.34,2489421312,2.32
1770724574,2026-02-10T09:36:14Z,1438132528,1.34,2489421312,2.32
1770724874,2026-02-10T09:41:14Z,1437432248,1.34,2489421312,2.32
1770725174,2026-02-10T09:46:14Z,1436737984,1.34,2489421312,2.32
1770725474,2026-02-10T09:51:14Z,1435637256,1.34,2489421312,2.32
1770725774,2026-02-10T09:56:14Z,1435148720,1.34,2489421312,2.32
1770726074,2026-02-10T10:01:14Z,1434948776,1.34,2489421312,2.32
1770726374,2026-02-10T10:06:14Z,1434124320,1.34,2489421312,2.32
1770726674,2026-02-10T10:11:14Z,1433418288,1.33,2489421312,2.32
1770726974,2026-02-10T10:16:14Z,1432496720,1.33,2489421312,2.32
1770727274,2026-02-10T10:21:14Z,1431637784,1.33,2489421312,2.32
1770727574,2026-02-10T10:26:14Z,1431966584,1.33,2489421312,2.32
1770727874,2026-02-10T10:31:14Z,1430805120,1.33,2489421312,2.32
1770728174,2026-02-10T10:36:14Z,1431116376,1.33,2489421312,2.32
1770728474,2026-02-10T10:41:14Z,1430693288,1.33,2489421312,2.32
1770728774,2026-02-10T10:46:14Z,1429959384,1.33,2489421312,2.32
1770729074,2026-02-10T10:51:14Z,1430107992,1.33,2489421312,2.32
1770729374,2026-02-10T10:56:14Z,1429421680,1.33,2489421312,2.32
1770729674,2026-02-10T11:01:14Z,1429911896,1.33,2489421312,2.32
1770729974,2026-02-10T11:06:14Z,1430097800,1.33,2489421312,2.32
1770730274,2026-02-10T11:11:14Z,1430490256,1.33,2489421312,2.32
1770730574,2026-02-10T11:16:14Z,1430516304,1.33,2489421312,2.32
1770730874,2026-02-10T11:21:14Z,1430308224,1.33,2489421312,2.32
1770731174,2026-02-10T11:26:14Z,1429602048,1.33,2489421312,2.32
1770731474,2026-02-10T11:31:14Z,1427803704,1.33,2489421312,2.32
1770731774,2026-02-10T11:36:14Z,1426022672,1.33,2489421312,2.32
1770732074,2026-02-10T11:41:14Z,1481712496,1.38,2489421312,2.32
1770732374,2026-02-10T11:46:14Z,1715365144,1.60,2489421312,2.32
1770732674,2026-02-10T11:51:14Z,1879712792,1.75,2489421312,2.32
1770732974,2026-02-10T11:56:14Z,1848138080,1.72,2489421312,2.32
1770733274,2026-02-10T12:01:14Z,1854703304,1.73,2489421312,2.32
1770733574,2026-02-10T12:06:14Z,1829608520,1.70,2489421312,2.32
1770733874,2026-02-10T12:11:14Z,1794373928,1.67,2489421312,2.32
1770734174,2026-02-10T12:16:14Z,1759526856,1.64,2489421312,2.32
1770734474,2026-02-10T12:21:14Z,1722139432,1.60,2489421312,2.32
1770734774,2026-02-10T12:26:14Z,1685226384,1.57,2489421312,2.32
1770735074,2026-02-10T12:31:14Z,1647042528,1.53,2489421312,2.32
1770735374,2026-02-10T12:36:14Z,1610358416,1.50,2489421312,2.32
1770735674,2026-02-10T12:41:14Z,1572259936,1.46,2489421312,2.32
1770735974,2026-02-10T12:46:14Z,1527963256,1.42,2489421312,2.32
1770736274,2026-02-10T12:51:14Z,1489266936,1.39,2489421312,2.32
1770736574,2026-02-10T12:56:14Z,1462593416,1.36,2489421312,2.32
1770736874,2026-02-10T13:01:14Z,1436623368,1.34,2489421312,2.32
1770737174,2026-02-10T13:06:14Z,1416631712,1.32,2489421312,2.32
1770737474,2026-02-10T13:11:14Z,1400654888,1.30,2489421312,2.32
1770737774,2026-02-10T13:16:14Z,1389083952,1.29,2489421312,2.32
1770738074,2026-02-10T13:21:14Z,1381931184,1.29,2489421312,2.32
1770738374,2026-02-10T13:26:14Z,1377192888,1.28,2489421312,2.32
1770738674,2026-02-10T13:31:14Z,1375332816,1.28,2489421312,2.32
1770738974,2026-02-10T13:36:14Z,1373581552,1.28,2489421312,2.32
1770739274,2026-02-10T13:41:14Z,1372399976,1.28,2489421312,2.32
1770739574,2026-02-10T13:46:14Z,1371568160,1.28,2489421312,2.32
1770739874,2026-02-10T13:51:14Z,1370800072,1.28,2489421312,2.32
1770740174,2026-02-10T13:56:14Z,1369389208,1.28,2489421312,2.32
1770740474,2026-02-10T14:01:14Z,1369379400,1.28,2489421312,2.32
1770740774,2026-02-10T14:06:14Z,1370584216,1.28,2489421312,2.32
