Store,Week_Offset,Date,Cup_Count
8th & Broadway,0,2025-06-30,739
8th & Broadway,1,2025-07-07,552
8th & Broadway,2,2025-07-14,526
8th & Broadway,3,2025-07-21,539
8th & Broadway,4,2025-07-28,542
8th & Broadway,5,2025-08-04,617
8th & Broadway,6,2025-08-11,568
8th & Broadway,7,2025-08-18,534
8th & Broadway,8,2025-08-25,556
8th & Broadway,9,2025-09-01,638
8th & Broadway,10,2025-09-08,802
8th & Broadway,11,2025-09-15,797
8th & Broadway,12,2025-09-22,884
8th & Broadway,13,2025-09-29,801
8th & Broadway,14,2025-10-06,959
28th & 6th,0,2025-06-30,820
28th & 6th,1,2025-07-07,532
28th & 6th,2,2025-07-14,458
28th & 6th,3,2025-07-21,389
28th & 6th,4,2025-07-28,515
28th & 6th,5,2025-08-04,594
28th & 6th,6,2025-08-11,527
28th & 6th,7,2025-08-18,453
28th & 6th,8,2025-08-25,459
28th & 6th,9,2025-09-01,498
28th & 6th,10,2025-09-08,437
28th & 6th,11,2025-09-15,415
28th & 6th,12,2025-09-22,394
28th & 6th,13,2025-09-29,389
28th & 6th,14,2025-10-06,430
54th & 8th,0,2025-08-24,477
54th & 8th,1,2025-08-31,424
54th & 8th,2,2025-09-07,347
54th & 8th,3,2025-09-14,349
54th & 8th,4,2025-09-21,461
54th & 8th,5,2025-09-28,430
54th & 8th,6,2025-10-05,486
54th & 8th,7,2025-10-12,317
54th & 8th,8,2025-10-19,379
54th & 8th,9,2025-10-26,407
54th & 8th,10,2025-11-02,383
54th & 8th,11,2025-11-09,334
54th & 8th,12,2025-11-16,405
54th & 8th,13,2025-11-23,334
54th & 8th,14,2025-11-30,262
102 Fulton,0,2025-08-28,575
102 Fulton,1,2025-09-04,532
102 Fulton,2,2025-09-11,489
102 Fulton,3,2025-09-18,496
102 Fulton,4,2025-09-25,477
102 Fulton,5,2025-10-02,488
102 Fulton,6,2025-10-09,543
102 Fulton,7,2025-10-16,483
102 Fulton,8,2025-10-23,479
102 Fulton,9,2025-10-30,380
102 Fulton,10,2025-11-06,516
102 Fulton,11,2025-11-13,412
102 Fulton,12,2025-11-20,509
102 Fulton,13,2025-11-27,272
102 Fulton,14,2025-12-04,433
100 Maiden Ln,0,2025-09-09,367
100 Maiden Ln,1,2025-09-16,333
100 Maiden Ln,2,2025-09-23,374
100 Maiden Ln,3,2025-09-30,361
100 Maiden Ln,4,2025-10-07,357
100 Maiden Ln,5,2025-10-14,294
100 Maiden Ln,6,2025-10-21,309
100 Maiden Ln,7,2025-10-28,285
100 Maiden Ln,8,2025-11-04,362
100 Maiden Ln,9,2025-11-11,206
100 Maiden Ln,10,2025-11-18,291
100 Maiden Ln,11,2025-11-25,271
37th & Broadway,0,2025-11-20,526
37th & Broadway,1,2025-11-27,175
37th & Broadway,2,2025-12-04,478
37th & Broadway,3,2025-12-11,439
37th & Broadway,4,2025-12-18,470
37th & Broadway,5,2025-12-25,173
37th & Broadway,6,2026-01-01,145
37th & Broadway,7,2026-01-08,579
37th & Broadway,8,2026-01-15,514
37th & Broadway,9,2026-01-22,541
37th & Broadway,10,2026-01-29,474
221 Grand,0,2025-12-15,346
221 Grand,1,2025-12-22,506
221 Grand,2,2025-12-29,403
221 Grand,3,2026-01-05,422
221 Grand,4,2026-01-12,443
221 Grand,5,2026-01-19,463
221 Grand,6,2026-01-26,180
221 Grand,7,2026-02-02,311
15th & 3rd,0,2025-12-14,143
15th & 3rd,1,2025-12-21,164
15th & 3rd,2,2025-12-28,114
15th & 3rd,3,2026-01-04,149
15th & 3rd,4,2026-01-11,182
15th & 3rd,5,2026-01-18,154
15th & 3rd,6,2026-01-25,61
15th & 3rd,7,2026-02-01,139